,Player,Stats,Output
10,8OEu4UsBQqunE9lYP_cJ3Q,USG%: 15.5; MPG: 14.4; PPG: 5.0; TS%: 58.9; TS% percentile: 93.0; 3PR: 32.1; 2PR: 67.9; 3P%: 33.3; 3P% percentile: 75.0; DRB%: 8.8; DRB% percentile: 28.0; ORB%: 9.0; ORB% percentile: 82.0; AST%: 8.1; AST% percentile: 33.0; TO%: 13.7; TO% percentile: 82.0; STL/G: 0.9; BLK/G: 0.2; STL% percentile: 85.0; BLK% percentile: 64.0; STL%: 3.4; FT%: 83.7; FTRate: 38.4; FTRate percentile: 73.0,"""<ul>\n <li>Low usage guard/forward (15.5%) who plays low minutes (14.4 MPG) scoring 5.0 PPG on extremely strong 58.9% TS% (93rd percentile)</li>\n \n <li>More likely to shoot from the inside (67.9% 2P-R) where she shoots a high 55.3% 2P%</li>\n \n <li>Above average rebounding guard/forward, performing better on the offensive glass with a 9.0% ORB% (82nd percentile) compared to 8.8% DRB% (28th percentile)</li>\n \n <li>Strong facilitator who assists on 8.1% of the team's field goals while on the court (33rd percentile) and turns the ball over on 13.7% of her possessions (82nd percentile)</li>\n \n <li>Strong defensively, averaging 0.9 STL/G</li>\n \n <li>Elite defender who records steals on 3.4% of opponent possessions while on the court (85th percentile)</li>\n \n <li>Strong free throw shooter at 83.7% who gets to the line frequently at 38.4% FT-R (73rd percentile)</li>\n</ul>"""
11,wzIs0YVLQeezkDl4R5SVPA,USG%: 14.5; MPG: 6.0; PPG: 1.1; TS%: 39.6; TS% percentile: 26.0; 3PR: 0.0; 2PR: 100.0; 3P% percentile: 0.0; DRB%: 11.0; DRB% percentile: 46.0; ORB%: 8.5; ORB% percentile: 79.0; AST%: 7.3; AST% percentile: 28.0; TO%: 25.9; TO% percentile: 23.0; STL/G: 0.1; BLK/G: 0.1; STL% percentile: 11.0; BLK% percentile: 77.0; STL%: 0.6; FT%: 50.0; FTRate: 9.8; FTRate percentile: 16.0,"""<ul>\n <li>Extremely low usage forward (14.5% USG) who plays extremely low minutes (6.0 MPG) scoring 1.1 PPG on low 39.6% TS% (26th percentile)</li>\n \n <li>More likely to shoot from the inside (100.0% 2P-R) where she shoots a weak 39.0% 2P%</li>\n \n <li>Average rebounding forward, performing better on the offensive glass with an ORB% 8.5% (79th percentile) compared to DRB% 11.0% (46th percentile)</li>\n \n <li>Weak facilitator who assists on 7.3% of the team's field goals while on the court (28th percentile) and turns the ball over on 25.9% of their possessions (23rd percentile)</li>\n \n <li>Weak defender who blocks 2.0% of opponent shots (77th percentile)</li>\n</ul>"""
12,Qu5ME9iNRkGBtV3vjbzUiw,USG%: 10.3; MPG: 25.5; PPG: 3.5; TS%: 44.1; TS% percentile: 41.0; 3PR: 32.4; 2PR: 67.6; 3P%: 37.1; 3P% percentile: 88.0; DRB%: 13.2; DRB% percentile: 61.0; ORB%: 4.9; ORB% percentile: 54.0; AST%: 17.0; AST% percentile: 80.0; TO%: 33.1; TO% percentile: 10.0; STL/G: 1.3; BLK/G: 0.2; STL% percentile: 71.0; BLK% percentile: 45.0; STL%: 2.6; FT%: 64.3; FTRate: 25.9; FTRate percentile: 49.0,"""<ul>\n <li>Extremely low usage guard (10.3% USG) who plays average minutes (25.5 MPG) scoring 3.5 PPG on low 44.1% TS% (41st percentile)</li>\n \n <li>More likely to shoot from the inside (67.6% 2P-R) where she shoots a poor 34.2% 2P%</li>\n \n <li>Average rebounding guard, performing better on the defensive glass with a DRB% 13.2% (61st percentile) compared to ORB% 4.9% (54th percentile)</li>\n \n <li>Average facilitator who assists on 17.0% of the team's field goals while on the court (80th percentile) and turns the ball over on 33.1% of their possessions (10th percentile)</li>\n \n <li>Strong defensively, averaging 1.3 STL/G</li>\n \n <li>Strong defender who records steals on 2.6% of opponent possessions while on the court (71st percentile)</li>\n \n <li>Weak free throw shooter at 64.3% who gets to the line frequently at 25.9% FT-R (49th percentile)</li>\n</ul>"""
13,usGMbvgUS5etbRXvDkQ_zg,USG%: 33.1; MPG: 29.1; PPG: 17.2; TS%: 49.6; TS% percentile: 65.0; 3PR: 29.6; 2PR: 70.4; 3P%: 32.6; 3P% percentile: 74.0; DRB%: 12.2; DRB% percentile: 55.0; ORB%: 1.8; ORB% percentile: 19.0; AST%: 22.7; AST% percentile: 92.0; TO%: 19.3; TO% percentile: 52.0; STL/G: 1.6; BLK/G: 0.1; STL% percentile: 77.0; BLK% percentile: 38.0; STL%: 2.9; FT%: 83.1; FTRate: 31.8; FTRate percentile: 61.0,"""<ul>\n <li>Extremely strong usage guard (33.1%) who plays above average minutes (29.1 mpg) scoring 17.2 PPG on average 49.6% TS% (65th percentile)</li>\n \n <li>More likely to shoot from the inside (70.4% 2P-R) where she shoots a below average 41.8% 2P</li>\n \n <li>Average rebounding guard, performing better on the defensive glass with a DRB% 12.2% (55th percentile) compared to ORB% (1.8%, 19th percentile)</li>\n \n <li>Strong facilitator who assists on 22.7% of the team's field goals while on the court (92nd percentile) and turns the ball over on 19.3% of their possessions (52nd percentile)</li>\n \n <li>Above average defensively, averaging 1.6 STL/G</li>\n \n <li>Above average defender who records steals on 2.9% of opponent possessions while on the court (77th percentile)</li>\n \n <li>Strong free throw shooter at 83.1% who gets to the line frequently at 31.8% FT-R (61st percentile)</li>\n</ul>"""
14,iehWE8b1SFuxlmFeRDv4hQ,USG%: 18.0; MPG: 28.8; PPG: 10.7; TS%: 56.0; TS% percentile: 89.0; 3PR: 1.7; 2PR: 98.3; 3P%: 0.0; 3P% percentile: 0.0; DRB%: 16.9; DRB% percentile: 79.0; ORB%: 9.9; ORB% percentile: 86.0; AST%: 6.1; AST% percentile: 22.0; TO%: 16.3; TO% percentile: 69.0; STL/G: 0.9; BLK/G: 2.7; STL% percentile: 38.0; BLK% percentile: 98.0; STL%: 1.6; FT%: 56.0; FTRate: 35.3; FTRate percentile: 68.0,"""<ul>\n <li>Average usage forward (18.0%) who plays above average minutes (28.8 MPG) scoring 10.7 PPG on high 56.0% TS% (89th percentile)</li>\n \n <li>More likely to shoot from the inside (98.3% 2P-R) where she shoots a strong 56.4% 2P%</li>\n \n <li>High rebounding forward, performing better on the offensive glass with a ORB% 9.9% (86th percentile) compared to DRB% 16.9% (79th percentile) with 7.4 DRB/G</li>\n \n <li>Average facilitator who assists on 6.1% of the team's field goals while on the court (22nd percentile) and turns the ball over on 16.3% of their possessions (69th percentile)</li>\n \n <li>Above average defensively, averaging 0.9 STL/G</li>\n \n <li>Elite defender who blocks 8.6% of opponent shots (98th percentile)</li>\n \n <li>Low free throw shooter at 56.0% who gets to the line frequently at 35.3% FT-R (68th percentile)</li>\n</ul>"""
15,bzoxV0KPSoWtMOXoLcn2EQ,USG%: 12.0; MPG: 9.3; PPG: 0.2; TS%: 14.7; TS% percentile: 5.0; 3PR: 58.8; 2PR: 41.2; 3P%: 10.0; 3P% percentile: 28.0; DRB%: 8.0; DRB% percentile: 23.0; ORB%: 2.9; ORB% percentile: 33.0; AST%: 17.9; AST% percentile: 83.0; TO%: 71.7; TO% percentile: 0.0; STL/G: 0.3; BLK/G: 0.0; STL% percentile: 46.0; BLK% percentile: 0.0; STL%: 1.9; FTRate: 0.0; FTRate percentile: 0.0,"""<ul>\n <li>Extremely low usage guard (12.0%) who plays below average minutes (9.3 MPG) scoring 0.2 PPG on extremely low 14.7% TS% (5th percentile)</li>\n <li>More likely to shoot from the outside (58.8% 3P-R) where she shoots a below average 10.0% 3P%</li>\n <li>Below average rebounding guard, performing better on the defensive glass with a DRB% 8.0% (23rd percentile) compared to ORB% 2.9% (33rd percentile)</li>\n <li>Average facilitator who assists on 17.9% of the team's field goals while on the court (83rd percentile) and turns the ball over on 71.7% of their possessions (0th percentile)</li>\n <li>Average defensively, averaging 0.3 STL/G</li>\n</ul>"""
16,hUPk_OnOQ_mB4slKoKWFMQ,USG%: 16.1; MPG: 16.0; PPG: 3.8; TS%: 44.0; TS% percentile: 41.0; 3PR: 39.5; 2PR: 60.5; 3P%: 34.7; 3P% percentile: 82.0; DRB%: 12.1; DRB% percentile: 54.0; ORB%: 4.1; ORB% percentile: 47.0; AST%: 13.9; AST% percentile: 68.0; TO%: 24.3; TO% percentile: 28.0; STL/G: 0.8; BLK/G: 0.3; STL% percentile: 73.0; BLK% percentile: 72.0; STL%: 2.7; FT%: 81.0; FTRate: 16.9; FTRate percentile: 28.0,"""<ul>\n <li>Average usage guard (16.1%) who plays low minutes (16.0 MPG) scoring 3.8 PPG on low 44.0% TS% (41st percentile)</li>\n \n <li>More likely to shoot from the inside (60.5% 2P-R) where she shoots a poor 33.3% 2P%</li>\n \n <li>Average rebounding guard, performing better on the defensive glass with a DRB% 12.1% (54th percentile) compared to ORB% 4.1% (47th percentile)</li>\n \n <li>Weak facilitator who assists on 13.9% of the team's field goals while on the court (68th percentile) and turns the ball over on 24.3% of their possessions (28th percentile)</li>\n \n <li>Average defensively, averaging 0.8 STL/G</li>\n \n <li>Solid free throw shooter at 81.0% who gets to the line below average at 16.9% FT-R (28th percentile)</li>\n</ul>"""
17,Znu-wQjtSIiwH-khQoMK4g,USG%: 26.2; MPG: 29.2; PPG: 16.8; TS%: 58.0; TS% percentile: 92.0; 3PR: 46.2; 2PR: 53.8; 3P%: 35.9; 3P% percentile: 85.0; DRB%: 9.7; DRB% percentile: 36.0; ORB%: 5.1; ORB% percentile: 56.0; AST%: 10.1; AST% percentile: 47.0; TO%: 15.1; TO% percentile: 75.0; STL/G: 0.4; BLK/G: 0.9; STL% percentile: 13.0; BLK% percentile: 84.0; STL%: 0.8; FT%: 84.1; FTRate: 42.0; FTRate percentile: 78.0,"""<ul>\n <li>Extremely strong usage guard/forward (26.2%) who plays above average minutes (29.2 MPG) scoring 16.8 PPG on high 58.0% TS% (92nd percentile)</li>\n \n <li>More likely to shoot from the inside (53.8% 2P-R) where she shoots a balanced 50.3% 2P%</li>\n \n <li>Above average rebounding guard/forward, performing better on the offensive glass with a ORB% 5.1% (56th percentile) compared to DRB% 9.7% (36th percentile)</li>\n \n <li>Average facilitator who assists on 10.1% of the team's field goals while on the court (47th percentile) and turns the ball over on 15.1% of their possessions (75th percentile)</li>\n \n <li>Above average defender who blocks 2.8% of opponent shots (84th percentile)</li>\n \n <li>Strong free throw shooter at 84.1% who gets to the line frequently at 42.0% FT-R (78th percentile)</li>\n</ul>"""
18,jyw2dRruSGObGXg4PsW2hw,USG%: 12.9; MPG: 20.6; PPG: 3.4; TS%: 41.7; TS% percentile: 32.0; 3PR: 7.9; 2PR: 92.1; 3P%: 12.5; 3P% percentile: 31.0; DRB%: 16.6; DRB% percentile: 78.0; ORB%: 5.6; ORB% percentile: 61.0; AST%: 18.0; AST% percentile: 83.0; TO%: 30.2; TO% percentile: 14.0; STL/G: 1.3; BLK/G: 0.5; STL% percentile: 83.0; BLK% percentile: 77.0; STL%: 3.3; FT%: 45.5; FTRate: 54.5; FTRate percentile: 89.0,"""<ul>\n <li>Extremely low usage guard (12.9%) who plays average minutes (20.6 MPG) scoring 3.4 PPG on below average 41.7% TS% (32nd percentile)</li>\n \n <li>More likely to shoot from the inside (92.1% 2P-R) where she shoots a below average 41.9% 2P%</li>\n \n <li>High rebounding guard, performing better on the defensive glass with a DRB% 16.6% (78th percentile) compared to ORB% 5.6% (61st percentile) with 3.6 DRB/G</li>\n \n <li>Average facilitator who assists on 18.0% of the team's field goals while on the court (83rd percentile) and turns the ball over on 30.2% of their possessions (14th percentile)</li>\n \n <li>Strong defensively, averaging 1.3 STL/G</li>\n \n <li>Strong defender who records steals on 3.3% of opponent possessions while on the court (83rd percentile)</li>\n \n <li>Strong free throw shooter at 45.5% who gets to the line frequently at 54.5% FT-R (89th percentile)</li>\n</ul>"""
19,DVN6OorIS0WQFd3Zpzw2qg,USG%: 25.4; MPG: 22.8; PPG: 10.6; TS%: 49.8; TS% percentile: 66.0; 3PR: 64.2; 2PR: 35.8; 3P%: 32.5; 3P% percentile: 73.0; DRB%: 7.8; DRB% percentile: 22.0; ORB%: 2.0; ORB% percentile: 21.0; AST%: 12.4; AST% percentile: 60.0; TO%: 17.5; TO% percentile: 62.0; STL/G: 0.7; BLK/G: 0.4; STL% percentile: 38.0; BLK% percentile: 68.0; STL%: 1.6; FT%: 86.0; FTRate: 18.9; FTRate percentile: 32.0,"""<ul>\n <li>Extremely strong usage guard (25.4%) who plays average minutes (22.8 MPG) scoring 10.6 PPG on below average 49.8% TS% (66th percentile)</li>\n \n <li>More likely to shoot from the outside (64.2% 3P-R) where she shoots a below average 32.5% 3P%</li>\n \n <li>Below average rebounding guard, performing better on the defensive glass with a DRB% 7.8% (22nd percentile) compared to ORB% 2.0% (21st percentile)</li>\n \n <li>Weak facilitator who assists on 12.4% of the team's field goals while on the court (71st percentile) and turns the ball over on 17.5% of their possessions (62nd percentile)</li>\n \n <li>Average defensively, averaging 0.7 STL/G</li>\n \n <li>Excellent free throw shooter at 86.0% who gets to the line infrequently at 18.9% FT-R (32nd percentile)</li>\n</ul>"""
